"X","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","Min","Q1","Median","Mean","Q3","Max","StDev","Year.count"
"01-Nov",NA,NA,0.5909375,0.568125,0.8301064,0.495,3.677949,0.1889474,0.613020833333333,0.1889474,0.51328125,0.57953125,1.05851088333333,0.770314175,3.677949,1.2997240480663,6
"02-Nov",NA,NA,0.5728421,0.6446875,0.8584375,0.8604225,5.970725,0.1920833,0.64936170212766,0.1920833,0.59080345,0.7515625,1.51653298333333,0.85992625,5.970725,2.19582472645872,6
"03-Nov",NA,NA,0.6026042,0.7353125,0.8696875,0.6686316,7.273281,0.1997917,0.541770833333333,0.1997917,0.61911105,0.70197205,1.72488475,0.83609375,7.273281,2.72750470878945,6
"04-Nov",NA,NA,0.6963542,0.8097917,0.9340625,0.7190323,5.221831,0.2257292,0.689677419354839,0.2257292,0.702023725,0.764412,1.43446681666667,0.9029948,5.221831,1.87095987916272,6
"05-Nov",NA,NA,0.8496875,0.8728125,0.8803125,0.975914,3.508235,0.25625,0.69978021978022,0.25625,0.85546875,0.8765625,1.22386858333333,0.952013625,3.508235,1.14868444430729,6
"06-Nov",NA,NA,0.7977083,0.9246875,0.8529167,0.9123333,3.569231,0.2530208,0.725578947368421,0.2530208,0.8115104,0.882625,1.21831626666667,0.92159895,3.569231,1.17888648773484,6
"07-Nov",NA,NA,0.8354167,0.9052083,0.8095789,0.6555208,1.012,0.20125,0.74968085106383,0.20125,0.694035325,0.8224978,0.736495783333333,0.8877604,1.012,0.287241352482176,6
"08-Nov",NA,NA,0.72625,0.87625,0.805625,0.8627174,0.9109375,0.2064583,0.624736842105263,0.2064583,0.74609375,0.8341712,0.731373033333333,0.87286685,0.9109375,0.265163780750574,6
"09-Nov",NA,NA,0.7614737,0.8663542,0.7975,0.7567391,0.9206316,0.2389583,0.661153846153846,0.2389583,0.75792275,0.77948685,0.723609483333333,0.84914065,0.9206316,0.2457932533476,6
"10-Nov",NA,NA,0.6714894,0.8270833,0.7686458,0.7483333,0.6351579,0.2691667,NA,0.2691667,0.644240775,0.70991135,0.653312733333333,0.763567675,0.8270833,0.200377143559965,6
"11-Nov",NA,NA,0.5995699,0.7346875,0.6565625,0.9036559,0.5721277,0.2804167,NA,0.2804167,0.57898825,0.6280662,0.624503366666667,0.71515625,0.9036559,0.206327405126655,6
"12-Nov",NA,NA,0.5908511,0.6554167,0.6126042,1.215699,0.7692708,0.3062105,0.801020408163265,0.3062105,0.596289375,0.63401045,0.691675383333333,0.740807275,1.215699,0.298977409198671,6
