"X","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","Min","Q1","Median","Mean","Q3","Max","StDev","Year.count"
"01-Nov",NA,NA,2.356667,2.386563,4.092838,2.022386,11.27035,1.785934,1.76073684210526,1.785934,2.10595625,2.371615,3.98578966666667,3.66626925,11.27035,3.66011377152441,6
"02-Nov",NA,NA,2.716092,2.848438,4.5036,2.661129,15.46344,1.851591,1.89945054945055,1.851591,2.67486975,2.782265,5.00738166666667,4.0898095,15.46344,5.19534241870184,6
"03-Nov",NA,NA,2.686742,3.163229,4.775526,2.610761,20.06036,1.985,1.86152173913043,1.985,2.62975625,2.9249855,5.88026966666667,4.37245175,20.06036,7.01055150569599,6
"04-Nov",NA,NA,3.1,3.595543,4.788987,3.131609,12.5205,2.282283,2.23588235294118,2.282283,3.10790225,3.363576,4.90315366666667,4.490626,12.5205,3.82113966110393,6
"05-Nov",NA,NA,3.733,3.74383,4.809079,4.087778,9.139118,2.434176,2.28267441860465,2.434176,3.7357075,3.915804,4.65783016666667,4.62875375,9.139118,2.32659069551414,6
"06-Nov",NA,NA,3.244074,4.158387,4.639351,3.540471,7.366667,2.681744,2.00081395348837,2.681744,3.31817325,3.849429,4.27178233333333,4.51911,7.366667,1.66406123159211,6
"07-Nov",NA,NA,3.690241,4.118913,3.979189,2.745638,5.167586,2.629121,2.46195402298851,2.629121,2.98178875,3.834715,3.72178133333333,4.083982,5.167586,0.944677786926456,6
"08-Nov",NA,NA,3.075682,4.138352,4.377368,2.903333,4.925,2.396,2.27880952380952,2.396,2.94642025,3.607017,3.63595583333333,4.317614,4.925,0.985074842398976,6
"09-Nov",NA,NA,3.490361,3.95978,4.609091,2.868953,4.405217,2.978876,2.32895833333333,2.868953,3.10674725,3.7250705,3.718713,4.29385775,4.609091,0.727154660778847,6
"10-Nov",NA,NA,3.115172,3.877895,4.704189,2.888333,3.402692,3.36275,NA,2.888333,3.1770665,3.382721,3.55850516666667,3.75909425,4.704189,0.65159407140072,6
"11-Nov",NA,NA,2.600787,3.395319,3.74974,4.583068,3.456145,3.428046,NA,2.600787,3.40350075,3.4420955,3.5355175,3.67634125,4.583068,0.641011727452392,6
"12-Nov",NA,NA,2.512418,3.12,3.590864,5.943538,4.238,3.897294,3.32825,2.512418,3.237716,3.744079,3.88368566666667,4.1528235,5.943538,1.17626959565121,6
"13-Nov",NA,NA,2.487033,2.610833,2.81814,3.391944,3.013837,3.549663,3.86625,2.487033,2.66265975,2.9159885,2.978575,3.29741725,3.549663,0.424463413759537,6
"14-Nov",NA,NA,2.535521,2.897474,3.016333,2.342316,3.013571,3.446707,4.82733333333333,2.342316,2.62600925,2.9555225,2.87532033333333,3.0156425,3.446707,0.391287243101876,6
