"X","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","Min","Q1","Median","Mean","Q3","Max","StDev","Year.count"
"01-Nov",NA,95.90947,110.4885,128.5469,110.1702,133.9132,107.824,120.7526,117.303125,95.90947,108.9971,110.4885,115.372124285714,124.64975,133.9132,13.1210684091958,7
"02-Nov",NA,95.06737,109.6737,126.9781,109.6937,129.6117,107.8737,120.0021,117.422105263158,95.06737,108.7737,109.6937,114.128624285714,123.4901,129.6117,12.1195625144418,7
"03-Nov",NA,97.82917,108.3333,122.6167,109.4708,122.9365,108.0589,119.5573,116.75625,97.82917,108.1961,109.4708,112.686095714286,121.087,122.9365,9.33028471122194,7
"04-Nov",NA,100.1833,110.224,119.1875,108.8031,120.3387,108.2937,119.3927,116.540860215054,100.1833,108.5484,110.224,112.346142857143,119.2901,120.3387,7.54710526490282,7
"05-Nov",NA,100.4083,111.3865,117.7531,107.9042,118.1874,108.324,119.1781,117.761538461538,100.4083,108.1141,111.3865,111.877371428571,117.97025,119.1781,6.9262108254837,7
"06-Nov",NA,100.199,112.0604,117.55,106.7219,117.2138,107.8804,119.5792,117.390526315789,100.199,107.30115,112.0604,111.600671428571,117.3819,119.5792,7.05231561089791,7
"07-Nov",NA,100.5656,111.35,116.9562,104.8281,115.8052,104.2625,120.4646,116.167708333333,100.5656,104.5453,111.35,110.6046,116.3807,120.4646,7.52258809342458,7
"08-Nov",NA,100.2302,110.6104,116.2865,105.0021,114.1333,104.326,121.5438,114.064210526316,100.2302,104.66405,110.6104,110.304614285714,115.2099,121.5438,7.55213988602537,7
"09-Nov",NA,99.89375,109.6937,115.8156,104.7198,113.1189,105.2916,117.4365,113.138461538462,99.89375,105.0057,109.6937,109.424264285714,114.46725,117.4365,6.43958620414349,7
"10-Nov",NA,98.60208,106.1521,116.274,104.6865,112.2646,113.8305,115.599,NA,98.60208,105.4193,112.2646,109.629825714286,114.71475,116.274,6.61445405134054,7
"11-Nov",NA,93.84583,103.7409,116.3125,105.5187,110.2895,113.6894,113.7615,NA,93.84583,104.6298,110.2895,108.165475714286,113.72545,116.3125,7.79261676754319,7
"12-Nov",NA,89.81458,102.1564,118.8219,105.3771,108.5326,111.5156,111.75,116.658,89.81458,103.76675,108.5326,106.852597142857,111.6328,118.8219,9.18640443318588,7
"13-Nov",NA,89.8575,93.34624,122.3427,103.5674,108.1375,119.8874,109.6411,116.377894736842,89.8575,98.45682,108.1375,106.682834285714,114.76425,122.3427,12.2550798312739,7
"14-Nov",NA,NA,87.08646,122.9188,103.2302,107.3698,119.4938,107.9219,115.707368421053,87.08646,104.2651,107.64585,108.003493333333,116.600825,122.9188,12.7687772138238,6
"15-Nov",NA,NA,91.78542,126.0542,102.0865,105.7812,121.7602,108.2708,115.573958333333,91.78542,103.010175,107.026,109.28972,118.38785,126.0542,12.713736417875,6
"16-Nov",NA,NA,105.1537,124.2916,102.8135,104.8,122.2062,108.2787,115.108333333333,102.8135,104.888425,106.7162,111.257283333333,118.724325,124.2916,9.47514496298957,6
"17-Nov",NA,NA,104.9469,115.1917,100.4969,107.5323,125.9105,107.4958,113.584375,100.4969,105.584125,107.51405,110.26235,113.27685,125.9105,9.0320328183084,6
"18-Nov",NA,NA,103.6385,113.5844,99.84063,106.8812,126.324,110.8771,113.163157894737,99.84063,104.449175,108.87915,110.190971666667,112.907575,126.324,9.30891805949632,6
"19-Nov",NA,NA,102.0844,113.6312,99.54167,108.9105,128.8146,109.8383,112.255789473684,99.54167,103.790925,109.3744,110.470111666667,112.682975,128.8146,10.3835957511267,6
"20-Nov",NA,NA,100.3458,113.5375,98.90106,110.0579,123.9863,110.1915,112.079166666667,98.90106,102.773825,110.1247,109.503343333333,112.701,123.9863,9.19870162899453,6
"21-Nov",NA,NA,100.9604,113.4875,99.32396,113.5302,117.2842,110.7344,111.282978723404,99.32396,103.4039,112.11095,109.22011,113.519525,117.2842,7.35209778306845,6
"22-Nov",NA,NA,101.1802,112.875,99.96563,118.0625,114.8892,114.0958,108.979787234043,99.96563,104.1039,113.4854,110.178055,114.69085,118.0625,7.64508492259896,6
"23-Nov",NA,NA,100.9354,111.9875,99.09271,118.9875,114.7411,113.1022,106.190526315789,99.09271,103.698425,112.54485,109.807735,114.331375,118.9875,7.97171424315686,6
"24-Nov",NA,NA,101.3063,110.9813,98.875,115.1708,116.7281,110.8656,106.217708333333,98.875,103.696125,110.92345,108.98785,114.123425,116.7281,7.306381789299,6
"25-Nov",NA,NA,100.4375,110.0615,98.66667,123.2125,119.9905,116.5312,107.337894736842,98.66667,102.8435,113.29635,111.483311666667,119.125675,123.2125,10.2345014175199,6
