"X","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","Min","Q1","Median","Mean","Q3","Max","StDev","Year.count"
"01-Nov",NA,7.453442,7.898646,7.429729,5.933255,6.539264,3.773323,5.605284,7.10644791666667,3.773323,5.7692695,6.539264,6.37613471428571,7.4415855,7.898646,1.42479739909407,7
"02-Nov",NA,7.646242,7.547926,7.45099,5.761427,6.645404,3.823053,5.524563,7.17914736842105,3.823053,5.642995,6.645404,6.34280071428571,7.499458,7.646242,1.4040165761996,7
"03-Nov",NA,7.326146,7.116865,7.362844,5.67949,6.617687,3.900253,5.504823,7.10048958333333,3.900253,5.5921565,6.617687,6.215444,7.2215055,7.362844,1.26996608913598,7
"04-Nov",NA,7.345667,7.222812,7.249729,5.509135,6.382957,3.933084,5.439021,7.06176344086022,3.933084,5.474078,6.382957,6.15462928571429,7.2362705,7.345667,1.26984143532709,7
"05-Nov",NA,7.281333,7.183896,7.125896,5.266781,6.215853,3.982396,5.378979,6.9871978021978,3.982396,5.32288,6.215853,6.062162,7.154896,7.281333,1.24663631435689,7
"06-Nov",NA,7.152656,6.912625,7.042469,4.994896,6.028926,3.94813,5.370135,6.85983157894737,3.94813,5.1825155,6.028926,5.92140528571429,6.977547,7.152656,1.21263989822092,7
"07-Nov",NA,7.139115,6.535823,6.934,4.465552,5.833552,3.799925,5.289,6.71407291666667,3.799925,4.877276,5.833552,5.71385242857143,6.7349115,7.139115,1.26569933562081,7
"08-Nov",NA,7.008531,6.288135,6.844583,4.525781,5.530365,3.708719,4.893292,6.50497894736842,3.708719,4.7095365,5.530365,5.54277228571429,6.566359,7.008531,1.23953799407343,7
"09-Nov",NA,6.877531,5.938126,6.776292,4.45274,5.321558,3.676863,4.48426,6.18861538461538,3.676863,4.4685,5.321558,5.36105285714286,6.357209,6.877531,1.22932735543175,7
"10-Nov",NA,6.441406,5.786585,6.739854,4.424396,5.118094,3.457463,4.323906,NA,3.457463,4.374151,5.118094,5.18452914285714,6.1139955,6.739854,1.20186603380527,7
"11-Nov",NA,5.075667,5.635817,6.645323,4.235906,4.559253,3.356191,3.975083,NA,3.356191,4.1054945,4.559253,4.78332,5.355742,6.645323,1.10446709730093,7
"12-Nov",NA,3.633792,5.521106,6.572458,4.128125,4.072663,3.464844,3.576854,5.8256,3.464844,3.605323,4.072663,4.42426314285714,4.8246155,6.572458,1.17562450300545,7
"13-Nov",NA,3.89125,5.359108,6.4605,4.021389,4.021646,3.453853,3.151684,5.73177894736842,3.151684,3.6725515,4.021389,4.33706142857143,4.690377,6.4605,1.16451929580777,7
"14-Nov",NA,NA,5.182323,6.469104,3.924646,3.830938,3.498896,2.816604,5.59507368421053,2.816604,3.5819065,3.877792,4.28708516666667,4.86790375,6.469104,1.31800200139581,6
"15-Nov",NA,NA,4.96449,6.44375,3.698729,3.617719,3.57128,2.968896,5.58033333333333,2.968896,3.58288975,3.658224,4.21081066666667,4.64804975,6.44375,1.27431451966423,6
"16-Nov",NA,NA,4.746432,6.172884,3.600667,3.530865,3.590719,2.96284,5.40527083333333,2.96284,3.5458285,3.595693,4.1007345,4.45999075,6.172884,1.16965527116441,6
"17-Nov",NA,NA,4.505635,5.87726,3.471885,3.759573,3.684358,2.842937,4.94266666666667,2.842937,3.52500325,3.7219655,4.023608,4.3191195,5.87726,1.05371372663812,6
"18-Nov",NA,NA,4.133813,5.657594,3.279115,3.695292,3.728219,3.468812,4.81430526315789,3.279115,3.525432,3.7117555,3.9938075,4.0324145,5.657594,0.864157561705213,6
"19-Nov",NA,NA,3.742396,5.660969,3.173417,3.746442,3.820719,3.35333,4.63315789473684,3.173417,3.4505965,3.744419,3.91621216666667,3.80214975,5.660969,0.892290346782126,6
"20-Nov",NA,NA,3.365771,5.672896,2.977479,3.654821,3.723,3.388021,4.6235,2.977479,3.3713335,3.521421,3.796998,3.70595525,5.672896,0.955982595359978,6
"21-Nov",NA,NA,3.489458,5.595198,3.077823,3.594844,3.472779,3.112427,4.42027659574468,3.077823,3.202515,3.4811185,3.72375483333333,3.5684975,5.595198,0.941036774750364,6
"22-Nov",NA,NA,3.622083,5.422292,3.211781,3.71924,3.485914,3.576105,3.97008510638298,3.211781,3.50846175,3.599094,3.83956916666667,3.69495075,5.422292,0.794404712275907,6
"23-Nov",NA,NA,3.663302,5.245708,3.072396,3.708656,3.460495,3.530352,3.64248421052632,3.072396,3.47795925,3.596827,3.7801515,3.6973175,5.245708,0.752611344963056,6
"24-Nov",NA,NA,3.77175,4.977437,3.059802,3.580573,3.525281,3.56851,3.60985416666667,3.059802,3.53608825,3.5745415,3.7472255,3.72395575,4.977437,0.647386206365489,6
"25-Nov",NA,NA,3.513594,4.78926,3.14701,3.718917,3.658547,3.51201,3.77306315789474,3.14701,3.512406,3.5860705,3.723223,3.7038245,4.78926,0.558786736127478,6
"26-Nov",NA,NA,3.612479,4.563042,3.24624,3.754031,3.714448,3.416323,3.70365625,3.24624,3.465362,3.6634635,3.7177605,3.74413525,4.563042,0.456093779531688,6
"27-Nov",NA,NA,3.58749,4.314917,3.066688,3.764137,3.797787,3.39987,3.73408333333333,3.066688,3.446775,3.6758135,3.65514816666667,3.7893745,4.314917,0.420368708076811,6
"28-Nov",NA,NA,3.640719,3.985458,3.003242,3.804053,3.938568,3.309674,4.17857894736842,3.003242,3.39243525,3.722386,3.613619,3.90493925,3.985458,0.38621192576926,6
"29-Nov",NA,NA,3.517979,3.8332,3.271885,3.799156,4.00174,3.246135,4.31163541666667,3.246135,3.3334085,3.6585675,3.6116825,3.824689,4.00174,0.314397465317232,6
"30-Nov",NA,NA,3.475635,3.478542,3.262844,3.731906,4.103811,3.265292,4.00722340425532,3.262844,3.31787775,3.4770885,3.553005,3.668565,4.103811,0.320591905386272,6
"01-Dec",NA,NA,3.440229,3.619562,3.265146,3.727958,4.28874,3.303128,3.77797894736842,3.265146,3.33740325,3.5298955,3.6074605,3.700859,4.28874,0.378568808273344,6
"02-Dec",NA,NA,3.534156,3.624229,3.287677,3.725147,4.3185,3.244542,3.8115625,3.244542,3.34929675,3.5791925,3.62237516666667,3.6999175,4.3185,0.389286181614204,6
"03-Dec",NA,NA,3.725938,3.648292,3.281542,3.742594,4.276,3.266774,3.85473404255319,3.266774,3.3732295,3.687115,3.65685666666667,3.73843,4.276,0.371095817146282,6
