"X","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","Min","Q1","Median","Mean","Q3","Max","StDev","Year.count"
"01-Nov",NA,NA,3.208105,2.949688,2.876667,3.249149,4.347083,3.024211,5.58884210526316,2.876667,2.96831875,3.116158,3.27581716666667,3.238888,4.347083,0.544406716766212,6
"02-Nov",NA,NA,3.243263,2.99125,2.87375,2.263295,4.526947,2.809792,5.3668085106383,2.263295,2.8257815,2.9325,3.1180495,3.18025975,4.526947,0.761847607670392,6
"03-Nov",NA,NA,3.025521,2.599579,2.746146,0.8309677,5.030737,2.810426,6.29145833333333,0.8309677,2.63622075,2.778286,2.84056278333333,2.97174725,5.030737,1.33696978116454,6
"04-Nov",NA,NA,2.917579,2.313958,2.837188,1.320581,5.095368,2.880105,6.52152173913043,1.320581,2.4447655,2.8586465,2.89412983333333,2.9082105,5.095368,1.23790901807999,6
"05-Nov",NA,NA,2.910833,2.347604,2.915417,0.6178261,5.108229,2.921875,6.53802197802198,0.6178261,2.48841125,2.913125,2.80363068333333,2.9202605,5.108229,1.43769577097051,6
"06-Nov",NA,NA,2.720521,2.637188,3.058495,0.5079121,5.423478,3.362316,7.03085106382979,0.5079121,2.65802125,2.889508,2.95165168333333,3.28636075,5.423478,1.57570035013827,6
"07-Nov",NA,NA,2.769895,2.978542,2.811458,0.2189583,2.33625,4.555208,5.95705263157895,0.2189583,2.44466125,2.7906765,2.61171855,2.936771,4.555208,1.39841416318423,6
"08-Nov",NA,NA,2.787931,2.924375,2.727292,0.2082105,2.376771,5.523579,4.93127659574468,0.2082105,2.46440125,2.7576115,2.75802641666667,2.890264,5.523579,1.69261387991799,6
"09-Nov",NA,NA,2.926316,2.879479,2.694792,0.1772632,2.399684,4.201075,5.2942,0.1772632,2.473461,2.7871355,2.54643486666667,2.91460675,4.201075,1.31526286977639,6
"10-Nov",NA,NA,2.809787,2.950521,2.58625,0.143125,3.610421,3.352813,NA,0.143125,2.64213425,2.880154,2.57548616666667,3.25224,3.610421,1.24798812710673,6
"11-Nov",NA,NA,2.372688,3.069053,2.816875,-0.03431579,3.765957,3.165313,NA,-0.03431579,2.48373475,2.942964,2.52592836833333,3.141248,3.765957,1.33449996503055,6
"12-Nov",NA,NA,2.331398,3.690421,2.770313,-0.1185263,3.16875,3.200104,5.76681818181818,-0.1185263,2.44112675,2.9695315,2.50707661666667,3.1922655,3.690421,1.3647233855768,6
"13-Nov",NA,NA,2.202581,3.935417,2.222737,-0.1171875,3.902105,3.030211,4.82694736842105,-0.1171875,2.20762,2.626474,2.52931058333333,3.6841315,3.935417,1.50447949009278,6
"14-Nov",NA,NA,1.943333,3.874316,2.437292,-0.1020833,3.620521,2.9825,5.17284210526316,-0.1020833,2.06682275,2.709896,2.45931311666667,3.46101575,3.874316,1.44581004538885,6
"15-Nov",NA,NA,1.774687,4.055,2.223542,-0.01547368,3.624731,3.037083,5.53104166666667,-0.01547368,1.88690075,2.6303125,2.44992822,3.477819,4.055,1.47557281628807,6
"16-Nov",NA,NA,1.920632,3.487474,2.387895,3.552262,3.758526,3.172967,4.82447916666667,1.920632,2.584163,3.3302205,3.046626,3.536065,3.758526,0.73137779570862,6
"17-Nov",NA,NA,2.896211,2.528511,1.955729,6.855412,3.931789,3.025053,5.20117021276596,1.955729,2.620436,2.960632,3.5321175,3.705105,6.855412,1.75258334097523,6
