"X","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","Min","Q1","Median","Mean","Q3","Max","StDev","Year.count"
"01-Nov",NA,9.18,0.696947368421053,0.800729166666667,0.600729166666667,1.74989361702128,NA,2.31197916666667,0.892421052631579,0.600729166666667,0.722892817982457,1.27531139184397,2.55671308090706,2.17145777925532,9.18,3.31502226339096,6
"02-Nov",NA,9.9876,0.725263157894737,0.550210526315789,0.563229166666667,1.79873684210526,NA,1.97884210526316,0.854315789473684,0.550210526315789,0.603737664473684,1.262,2.60064696637427,1.93381578947368,9.9876,3.67339629139278,6
"03-Nov",NA,5.00673913043478,0.93625,0.432708333333333,0.590520833333333,1.90193548387097,NA,1.6759375,0.8828125,0.432708333333333,0.676953125,1.30609375,1.75734854682874,1.84543598790323,5.00673913043478,1.69566705089949,6
"04-Nov",NA,15.91,0.9734375,0.410104166666667,0.756770833333333,1.93682926829268,NA,1.59322916666667,0.949479166666667,0.410104166666667,0.8109375,1.28333333333333,3.59672848915989,1.85092924288618,15.91,6.05784648091603,6
"05-Nov",NA,NA,0.962291666666667,0.3925,0.936666666666667,5.03,NA,1.70709090909091,1.0603125,0.3925,0.936666666666667,0.962291666666667,1.80570984848485,1.70709090909091,5.03,1.86209056127149,5
"06-Nov",NA,17.945,1.04197916666667,0.378829787234043,1.25020833333333,3.12109090909091,NA,NA,1.62336842105263,0.378829787234043,1.04197916666667,1.25020833333333,4.74742163926499,3.12109090909091,17.945,7.44759064775652,5
"07-Nov",NA,8.53787878787879,0.931979166666667,0.395729166666667,1.52822916666667,2.57205882352941,NA,NA,2.26291666666667,0.395729166666667,0.931979166666667,1.52822916666667,2.79317502228164,2.57205882352941,8.53787878787879,3.31143467355986,5
"08-Nov",NA,12.0258490566038,0.939157894736842,0.425729166666667,1.5053125,NA,NA,NA,2.81178947368421,0.425729166666667,0.810800712719298,1.22223519736842,3.72401215450183,4.13544663915095,12.0258490566038,5.55209293936268,4
"09-Nov",NA,21.6413793103448,0.904375,0.378152173913044,1.57979166666667,NA,NA,NA,2.02442105263158,0.378152173913044,0.772819293478261,1.24208333333333,6.12592453773113,6.5951885775862,21.6413793103448,10.3553227473225,4
"10-Nov",NA,22.2592857142857,0.861458333333333,0.399791666666667,1.56833333333333,NA,NA,NA,1.9365625,0.399791666666667,0.746041666666666,1.21489583333333,6.27221726190476,6.74107142857142,22.2592857142857,10.6688733592838,4
"11-Nov",NA,4.64463768115942,1.0215625,0.4153125,1.43978494623656,NA,NA,NA,1.97979166666667,0.4153125,0.87,1.23067372311828,1.88032440684899,2.24099812996727,4.64463768115942,1.89025878252598,4
"12-Nov",NA,3.0134375,0.975208333333333,0.435833333333333,1.3447311827957,NA,NA,NA,1.73547368421053,0.435833333333333,0.840364583333333,1.15996975806452,1.44230258736559,1.76190776209678,3.0134375,1.11192663039589,4
"13-Nov",NA,7.07125,1.14842105263158,0.378645833333333,1.21329787234043,NA,NA,NA,1.9725,0.378645833333333,0.955977247807018,1.180859462486,2.45290368957634,2.67778590425532,7.07125,3.10214795635783,4
"14-Nov",NA,NA,1.4654347826087,0.347604166666667,1.1996875,NA,NA,NA,1.98989473684211,0.347604166666667,0.773645833333333,1.1996875,1.00424214975846,1.33256114130435,1.4654347826087,0.583982435679889,3
"15-Nov",NA,NA,1.11375,0.350104166666667,1.46927083333333,NA,NA,NA,3.18763440860215,0.350104166666667,0.731927083333334,1.11375,0.977708333333332,1.29151041666666,1.46927083333333,0.571851386503981,3
"16-Nov",NA,NA,1.86342105263158,0.4790625,2.12114583333333,NA,NA,NA,3.21916666666667,0.4790625,1.17124177631579,1.86342105263158,1.4878764619883,1.99228344298246,2.12114583333333,0.883110821513271,3
